timestamp,data_apuracao,instituicao_fin,resumo,aporte
05/12/2025 09:00:00,31/12/2025,XP,"Stock | BERK34 | 5 | 120,00 | 122,00
Renda Fixa | Tesouro Selic 2029 | 1 | 24500,00 | 24850,00
Fundo Imobiliario | HGLG11 | 12 | 158,00 | 160,50",1500
05/12/2025 09:05:00,31/12/2025,Clear,"Stock | IVVB11 | 10 | 305,00 | 312,00
Stock | BOVA11 | 8 | 124,00 | 126,50
Stock | AAPL34 | 6 | 58,00 | 59,20",1000
05/12/2025 09:10:00,31/12/2025,Nubank,"Renda Fixa | Reserva de Emergencia | 1 | 7000,00 | 7150,00
Renda Fixa | CDB Liquidez Diaria | 1 | 5000,00 | 5055,00",750
05/12/2025 09:15:00,31/12/2025,Binance,"Cripto | Bitcoin | 0,035 | 510000,00 | 525000,00
Cripto | Ethereum | 0,70 | 18500,00 | 19200,00",500
05/01/2026 09:00:00,31/01/2026,XP,"Stock | BERK34 | 6 | 121,50 | 125,40
Renda Fixa | Tesouro Selic 2029 | 1 | 24500,00 | 25120,00
Fundo Imobiliario | HGLG11 | 13 | 158,60 | 162,10",1800
05/01/2026 09:05:00,31/01/2026,Clear,"Stock | IVVB11 | 11 | 307,20 | 318,40
Stock | BOVA11 | 9 | 124,70 | 128,10
Stock | AAPL34 | 7 | 58,40 | 60,30",1200
05/01/2026 09:10:00,31/01/2026,Nubank,"Renda Fixa | Reserva de Emergencia | 1 | 7000,00 | 7300,00
Renda Fixa | CDB Liquidez Diaria | 1 | 5000,00 | 5120,00",850
05/01/2026 09:15:00,31/01/2026,Binance,"Cripto | Bitcoin | 0,038 | 512000,00 | 538000,00
Cripto | Ethereum | 0,78 | 18600,00 | 19950,00",700
05/02/2026 09:00:00,28/02/2026,XP,"Stock | BERK34 | 7 | 122,30 | 128,90
Renda Fixa | Tesouro Selic 2029 | 1 | 24500,00 | 25410,00
Fundo Imobiliario | HGLG11 | 14 | 159,00 | 164,30",2000
05/02/2026 09:05:00,28/02/2026,Clear,"Stock | IVVB11 | 12 | 309,00 | 325,70
Stock | BOVA11 | 10 | 125,20 | 130,60
Stock | AAPL34 | 8 | 58,80 | 62,10",1400
05/02/2026 09:10:00,28/02/2026,Nubank,"Renda Fixa | Reserva de Emergencia | 1 | 7000,00 | 7425,00
Renda Fixa | CDB Liquidez Diaria | 1 | 5000,00 | 5190,00",900
05/02/2026 09:15:00,28/02/2026,Binance,"Cripto | Bitcoin | 0,041 | 515000,00 | 552000,00
Cripto | Ethereum | 0,86 | 18750,00 | 20700,00",800
05/03/2026 09:00:00,31/03/2026,XP,"Stock | BERK34 | 8 | 123,10 | 130,80
Renda Fixa | Tesouro Selic 2029 | 1 | 24500,00 | 25720,00
Fundo Imobiliario | HGLG11 | 15 | 159,40 | 166,00",2100
05/03/2026 09:05:00,31/03/2026,Clear,"Stock | IVVB11 | 13 | 311,00 | 334,20
Stock | BOVA11 | 11 | 125,80 | 133,40
Stock | AAPL34 | 9 | 59,20 | 64,00",1550
05/03/2026 09:10:00,31/03/2026,Nubank,"Renda Fixa | Reserva de Emergencia | 1 | 7000,00 | 7580,00
Renda Fixa | CDB Liquidez Diaria | 1 | 5000,00 | 5265,00",950
05/03/2026 09:15:00,31/03/2026,Binance,"Cripto | Bitcoin | 0,044 | 518000,00 | 569000,00
Cripto | Ethereum | 0,94 | 18900,00 | 21650,00",850
05/04/2026 09:00:00,30/04/2026,XP,"Stock | BERK34 | 9 | 124,00 | 133,50
Renda Fixa | Tesouro Selic 2029 | 1 | 24500,00 | 26040,00
Fundo Imobiliario | HGLG11 | 16 | 159,80 | 168,20",2300
05/04/2026 09:05:00,30/04/2026,Clear,"Stock | IVVB11 | 14 | 313,00 | 342,60
Stock | BOVA11 | 12 | 126,30 | 136,20
Stock | AAPL34 | 10 | 59,70 | 66,40",1700
05/04/2026 09:10:00,30/04/2026,Nubank,"Renda Fixa | Reserva de Emergencia | 1 | 7000,00 | 7735,00
Renda Fixa | CDB Liquidez Diaria | 1 | 5000,00 | 5340,00",1000
05/04/2026 09:15:00,30/04/2026,Binance,"Cripto | Bitcoin | 0,047 | 521000,00 | 588000,00
Cripto | Ethereum | 1,02 | 19050,00 | 22800,00",900
05/05/2026 09:00:00,31/05/2026,XP,"Stock | BERK34 | 10 | 125,00 | 136,20
Renda Fixa | Tesouro Selic 2029 | 1 | 24500,00 | 26380,00
Fundo Imobiliario | HGLG11 | 17 | 160,20 | 170,10",2500
05/05/2026 09:05:00,31/05/2026,Clear,"Stock | IVVB11 | 15 | 315,00 | 351,40
Stock | BOVA11 | 13 | 126,90 | 139,30
Stock | AAPL34 | 11 | 60,10 | 68,80",1900
05/05/2026 09:10:00,31/05/2026,Nubank,"Renda Fixa | Reserva de Emergencia | 1 | 7000,00 | 7900,00
Renda Fixa | CDB Liquidez Diaria | 1 | 5000,00 | 5420,00",1100
05/05/2026 09:15:00,31/05/2026,Binance,"Cripto | Bitcoin | 0,050 | 525000,00 | 610000,00
Cripto | Ethereum | 1,10 | 19200,00 | 24000,00",1000
