data_apuracao,ano,instituicao_fin,valor_total,tipo_escopo,nome_metrica,variacao_percentual
2025-12-31,2025,ALL,75893.2,HOME,valor_total_anual,
2026-01-31,2026,ALL,81482.1,HOME,valor_total_anual,7.36
2026-02-28,2026,ALL,87372.7,HOME,valor_total_anual,7.23
2026-03-31,2026,ALL,93876.4,HOME,valor_total_anual,7.44
2026-04-30,2026,ALL,100994.5,HOME,valor_total_anual,7.58
2026-05-31,2026,ALL,108692.4,HOME,valor_total_anual,7.62
2025-12-31,2025,BINANCE,31815.0,HOME,valor_total_anual,
2026-01-31,2026,BINANCE,36005.0,HOME,valor_total_anual,13.17
2026-02-28,2026,BINANCE,40434.0,HOME,valor_total_anual,12.3
2026-03-31,2026,BINANCE,45387.0,HOME,valor_total_anual,12.25
2026-04-30,2026,BINANCE,50892.0,HOME,valor_total_anual,12.13
2026-05-31,2026,BINANCE,56900.0,HOME,valor_total_anual,11.81
2025-12-31,2025,CLEAR,4487.2,HOME,valor_total_anual,
2026-01-31,2026,CLEAR,5077.4,HOME,valor_total_anual,13.15
2026-02-28,2026,CLEAR,5711.2,HOME,valor_total_anual,12.48
2026-03-31,2026,CLEAR,6388.0,HOME,valor_total_anual,11.85
2026-04-30,2026,CLEAR,7094.8,HOME,valor_total_anual,11.06
2026-05-31,2026,CLEAR,7838.7,HOME,valor_total_anual,10.49
2025-12-31,2025,NUBANK,12205.0,HOME,valor_total_anual,
2026-01-31,2026,NUBANK,12420.0,HOME,valor_total_anual,1.76
2026-02-28,2026,NUBANK,12615.0,HOME,valor_total_anual,1.57
2026-03-31,2026,NUBANK,12845.0,HOME,valor_total_anual,1.82
2026-04-30,2026,NUBANK,13075.0,HOME,valor_total_anual,1.79
2026-05-31,2026,NUBANK,13320.0,HOME,valor_total_anual,1.87
2025-12-31,2025,XP,27386.0,HOME,valor_total_anual,
2026-01-31,2026,XP,27979.7,HOME,valor_total_anual,2.17
2026-02-28,2026,XP,28612.5,HOME,valor_total_anual,2.26
2026-03-31,2026,XP,29256.4,HOME,valor_total_anual,2.25
2026-04-30,2026,XP,29932.7,HOME,valor_total_anual,2.31
2026-05-31,2026,XP,30633.7,HOME,valor_total_anual,2.34
