data_apuracao,ano,mes,tipo_escopo,instituicao_fin,nome_metrica,valor_total,variacao_percentual
2025-12-31,2025,Dec,HOME,ALL,valor_total,75893.2,
2026-01-31,2026,Jan,HOME,ALL,valor_total,81482.1,7.36
2026-02-28,2026,Fev,HOME,ALL,valor_total,87372.7,7.23
2026-03-31,2026,Mar,HOME,ALL,valor_total,93876.4,7.44
2026-04-30,2026,Abr,HOME,ALL,valor_total,100994.5,7.58
2026-05-31,2026,Mai,HOME,ALL,valor_total,108692.4,7.62
2025-12-31,2025,Dec,INSTITUICAO,BINANCE,valor_total,31815.0,
2026-01-31,2026,Jan,INSTITUICAO,BINANCE,valor_total,36005.0,13.17
2026-02-28,2026,Fev,INSTITUICAO,BINANCE,valor_total,40434.0,12.3
2026-03-31,2026,Mar,INSTITUICAO,BINANCE,valor_total,45387.0,12.25
2026-04-30,2026,Abr,INSTITUICAO,BINANCE,valor_total,50892.0,12.13
2026-05-31,2026,Mai,INSTITUICAO,BINANCE,valor_total,56900.0,11.81
2025-12-31,2025,Dec,INSTITUICAO,CLEAR,valor_total,4487.2,
2026-01-31,2026,Jan,INSTITUICAO,CLEAR,valor_total,5077.4,13.15
2026-02-28,2026,Fev,INSTITUICAO,CLEAR,valor_total,5711.2,12.48
2026-03-31,2026,Mar,INSTITUICAO,CLEAR,valor_total,6388.0,11.85
2026-04-30,2026,Abr,INSTITUICAO,CLEAR,valor_total,7094.8,11.06
2026-05-31,2026,Mai,INSTITUICAO,CLEAR,valor_total,7838.7,10.49
2025-12-31,2025,Dec,INSTITUICAO,NUBANK,valor_total,12205.0,
2026-01-31,2026,Jan,INSTITUICAO,NUBANK,valor_total,12420.0,1.76
2026-02-28,2026,Fev,INSTITUICAO,NUBANK,valor_total,12615.0,1.57
2026-03-31,2026,Mar,INSTITUICAO,NUBANK,valor_total,12845.0,1.82
2026-04-30,2026,Abr,INSTITUICAO,NUBANK,valor_total,13075.0,1.79
2026-05-31,2026,Mai,INSTITUICAO,NUBANK,valor_total,13320.0,1.87
2025-12-31,2025,Dec,INSTITUICAO,XP,valor_total,27386.0,
2026-01-31,2026,Jan,INSTITUICAO,XP,valor_total,27979.7,2.17
2026-02-28,2026,Fev,INSTITUICAO,XP,valor_total,28612.5,2.26
2026-03-31,2026,Mar,INSTITUICAO,XP,valor_total,29256.4,2.25
2026-04-30,2026,Abr,INSTITUICAO,XP,valor_total,29932.7,2.31
2026-05-31,2026,Mai,INSTITUICAO,XP,valor_total,30633.7,2.34
