data_apuracao,ano,instituicao_fin,nome,valor_total,nome_metrica,tipo_escopo,variacao_percentual
2025-12-31,2025,BINANCE,ALL,31815.0,valor_total_anual,INSTITUICAO,
2026-05-31,2026,BINANCE,ALL,56900.0,valor_total_anual,INSTITUICAO,78.85
2025-12-31,2025,BINANCE,bitcoin,18375.0,valor_total_anual,INSTITUICAO,
2026-05-31,2026,BINANCE,bitcoin,30500.0,valor_total_anual,INSTITUICAO,65.99
2025-12-31,2025,BINANCE,ethereum,13440.0,valor_total_anual,INSTITUICAO,
2026-05-31,2026,BINANCE,ethereum,26400.0,valor_total_anual,INSTITUICAO,96.43
2025-12-31,2025,CLEAR,AAPL34,355.2,valor_total_anual,INSTITUICAO,
2026-05-31,2026,CLEAR,AAPL34,756.8,valor_total_anual,INSTITUICAO,113.06
2025-12-31,2025,CLEAR,ALL,4487.2,valor_total_anual,INSTITUICAO,
2026-05-31,2026,CLEAR,ALL,7838.7,valor_total_anual,INSTITUICAO,74.69
2025-12-31,2025,CLEAR,BOVA11,1012.0,valor_total_anual,INSTITUICAO,
2026-05-31,2026,CLEAR,BOVA11,1810.9,valor_total_anual,INSTITUICAO,78.94
2025-12-31,2025,CLEAR,IVVB11,3120.0,valor_total_anual,INSTITUICAO,
2026-05-31,2026,CLEAR,IVVB11,5271.0,valor_total_anual,INSTITUICAO,68.94
2025-12-31,2025,NUBANK,ALL,12205.0,valor_total_anual,INSTITUICAO,
2026-05-31,2026,NUBANK,ALL,13320.0,valor_total_anual,INSTITUICAO,9.14
2025-12-31,2025,NUBANK,cdb liquidez diaria,5055.0,valor_total_anual,INSTITUICAO,
2026-05-31,2026,NUBANK,cdb liquidez diaria,5420.0,valor_total_anual,INSTITUICAO,7.22
2025-12-31,2025,NUBANK,reserva de emergencia,7150.0,valor_total_anual,INSTITUICAO,
2026-05-31,2026,NUBANK,reserva de emergencia,7900.0,valor_total_anual,INSTITUICAO,10.49
2025-12-31,2025,XP,ALL,27386.0,valor_total_anual,INSTITUICAO,
2026-05-31,2026,XP,ALL,30633.7,valor_total_anual,INSTITUICAO,11.86
2025-12-31,2025,XP,BERK34,610.0,valor_total_anual,INSTITUICAO,
2026-05-31,2026,XP,BERK34,1362.0,valor_total_anual,INSTITUICAO,123.28
2025-12-31,2025,XP,hglg11,1926.0,valor_total_anual,INSTITUICAO,
2026-05-31,2026,XP,hglg11,2891.7,valor_total_anual,INSTITUICAO,50.14
2025-12-31,2025,XP,tesouro selic 2029,24850.0,valor_total_anual,INSTITUICAO,
2026-05-31,2026,XP,tesouro selic 2029,26380.0,valor_total_anual,INSTITUICAO,6.16
