data_apuracao,ano,mes,instituicao_fin,nome,qtd,preco_medio,preco_entrada,preco_atual,valor_total,variacao_percentual,nome_metrica,tipo_escopo
2026-05-31,2026,Mai,BINANCE,ALL,,,,,56900.0,,valor_total,INSTITUICAO
2026-05-31,2026,Mai,BINANCE,bitcoin,0.05,525000.0,26250.0,610000.0,30500.0,16.19,valor_total,INSTITUICAO
2026-05-31,2026,Mai,BINANCE,ethereum,1.1,19200.0,21120.0,24000.0,26400.0,25.0,valor_total,INSTITUICAO
2026-05-31,2026,Mai,CLEAR,AAPL34,11.0,60.1,661.1,68.8,756.8,14.48,valor_total,INSTITUICAO
2026-05-31,2026,Mai,CLEAR,ALL,,,,,7838.7,,valor_total,INSTITUICAO
2026-05-31,2026,Mai,CLEAR,BOVA11,13.0,126.9,1649.7,139.3,1810.9,9.77,valor_total,INSTITUICAO
2026-05-31,2026,Mai,CLEAR,IVVB11,15.0,315.0,4725.0,351.4,5271.0,11.56,valor_total,INSTITUICAO
2026-05-31,2026,Mai,NUBANK,ALL,,,,,13320.0,,valor_total,INSTITUICAO
2026-05-31,2026,Mai,NUBANK,cdb liquidez diaria,1.0,5000.0,5000.0,5420.0,5420.0,8.4,valor_total,INSTITUICAO
2026-05-31,2026,Mai,NUBANK,reserva de emergencia,1.0,7000.0,7000.0,7900.0,7900.0,12.86,valor_total,INSTITUICAO
2026-05-31,2026,Mai,XP,ALL,,,,,30633.7,,valor_total,INSTITUICAO
2026-05-31,2026,Mai,XP,BERK34,10.0,125.0,1250.0,136.2,1362.0,8.96,valor_total,INSTITUICAO
2026-05-31,2026,Mai,XP,hglg11,17.0,160.2,2723.4,170.1,2891.7,6.18,valor_total,INSTITUICAO
2026-05-31,2026,Mai,XP,tesouro selic 2029,1.0,24500.0,24500.0,26380.0,26380.0,7.67,valor_total,INSTITUICAO
