data_apuracao,ano,mes,instituicao_fin,nome,valor_total,nome_metrica,tipo_escopo,variacao_percentual
2026-05-31,2026,Mai,BINANCE,ALL,5232.24,valor_total,INSTITUICAO,
2026-05-31,2026,Mai,BINANCE,ada,1832.69,valor_total,INSTITUICAO,
2026-05-31,2026,Mai,BINANCE,algo,23.18,valor_total,INSTITUICAO,
2026-05-31,2026,Mai,BINANCE,eth,1064.67,valor_total,INSTITUICAO,
2026-05-31,2026,Mai,BINANCE,shib,203.12,valor_total,INSTITUICAO,
2026-05-31,2026,Mai,BINANCE,sol,186.22,valor_total,INSTITUICAO,
2026-05-31,2026,Mai,BINANCE,xrp,1922.36,valor_total,INSTITUICAO,
2026-05-31,2026,Mai,CLEAR,ALL,19087.8,valor_total,INSTITUICAO,
2026-05-31,2026,Mai,CLEAR,AMER3,20.2,valor_total,INSTITUICAO,
2026-05-31,2026,Mai,CLEAR,BERK34,2625.7,valor_total,INSTITUICAO,
2026-05-31,2026,Mai,CLEAR,BOVA11,9732.75,valor_total,INSTITUICAO,
2026-05-31,2026,Mai,CLEAR,IVVB11,4734.4,valor_total,INSTITUICAO,
2026-05-31,2026,Mai,CLEAR,OPCT3,1650.75,valor_total,INSTITUICAO,
2026-05-31,2026,Mai,CLEAR,RAIZ4,324.0,valor_total,INSTITUICAO,
2026-05-31,2026,Mai,NUBANK,ALL,15192.89,valor_total,INSTITUICAO,
2026-05-31,2026,Mai,NUBANK,fundo de emergencia,15192.89,valor_total,INSTITUICAO,
2026-05-31,2026,Mai,XP,ALL,63114.57,valor_total,INSTITUICAO,
2026-05-31,2026,Mai,XP,CARTEIRA AUTOMATIZADA,21626.45,valor_total,INSTITUICAO,
2026-05-31,2026,Mai,XP,cdb digimais jul/2029,11553.19,valor_total,INSTITUICAO,
2026-05-31,2026,Mai,XP,tesouro ipca + 2040,29934.93,valor_total,INSTITUICAO,
